id,uuid,Brand,Name,Description,ColorWay,Country of Manufacture,gender,Retail Price,Release date,Release Time,Below Retail,image small,Tags,Name,Shoe,Short Description,Ticker Symbol,Style Id
715fc618-f9a3-4bc2-90c2-bbfb9f24e9dd,715fc618-f9a3-4bc2-90c2-bbfb9f24e9dd,adidas,adidas Yeezy Boost 350 V2 Carbon,"Kanye West and adidas keep the ball rolling with the Yeezy 350 V2 Carbon. This release marks the 12th colorway of the favorite 350 V2 model in 2020 and this colorway’s dark-hued upper makes it the perfect piece of footwear for fall.
<br>
<br>
The Yeezy 350 V2 Carbon holds all of the familiar elements that make the silhouette so popular; breathable Primeknit solid black mesh with its signature side stripe, ribbed patterned off-white midsole, and classic BOOST cushioning make the 350 V2 Carbon easy to love and easy to wear.
<br>
<br>
The Yeezy 350 V2 Carbon released in October of 2020.
",Carbon/Carbon/Carbon,CN,men,220,2020-10-02,1601596800,False,"{'imageUrl': 'https://stockx.imgix.net/adidas-Yeezy-Boost-350-V2-Carbon-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1602176137', 'smallImageUrl': 'https://stockx.imgix.net/adidas-Yeezy-Boost-350-V2-Carbon-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1602176137', 'thumbUrl': 'https://stockx.imgix.net/adidas-Yeezy-Boost-350-V2-Carbon-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1602176137', 'gallery': [], 'hidden': False}","['sneakers', 'adidas', 'adidas', 'yeezy', '350', 'v2', 'style_id|fz5000', 'release_date|2020-10-02', 'retail_price|220']",Carbon,adidas Yeezy Boost 350 V2,adidas-Yeezy-Boost-350-V2-Carbon,YZB350V2-CBN,FZ5000
c7083213-22e0-4d3a-9f85-f05ac98ed22a,c7083213-22e0-4d3a-9f85-f05ac98ed22a,Nike,Nike Air Rubber Dunk Off-White UNC,"The Nike Air Rubber Dunk, designed by Off-White founder Virgil Abloh, touched down in 2020, debuting the designer’s first-ever signature sneaker with the sportswear giant. This UNC colorway is one of three from the pack. 
<br>
<br>
The upper on the Nike Air Rubber Dunk UNC is composed of rubber, synthetic leathers, and mesh. Raw edges can be found on the tongue, bringing a deconstructed element that Virgil Abloh is known for adding to his Nike collabs. Finally, the midsole carries on the rubber theme, as rubber enclosures are placed around the Air Bubble unit. 
<br>
<br>
The Nike Air Rubber Dunk Off-White UNC released in October of 2020.",White/University Blue-White,CN,men,190,2020-10-01,1601510400,False,"{'imageUrl': 'https://stockx.imgix.net/Nike-Air-Rubber-Dunk-Off-White-UNC.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1601017093', 'smallImageUrl': 'https://stockx.imgix.net/Nike-Air-Rubber-Dunk-Off-White-UNC.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1601017093', 'thumbUrl': 'https://stockx.imgix.net/Nike-Air-Rubber-Dunk-Off-White-UNC.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1601017093', 'gallery': [], 'hidden': False}","['sneakers', 'nike', 'nike basketball', 'dunk low', 'virgil abloh', 'collections-filter', 'nike-off-white', 'tags|collections-filter,nike-off-white', 'style_id|cu6015-100', 'release_date|2020-10-01', 'retail_price|190']",Off-White UNC,Nike Air Rubber Dunk,Nike-Air-Rubber-Dunk-Off-White-UNC,NK-NIARDOUWU,CU6015-100
18b06bac-a376-48e0-af79-0102348c69fa,18b06bac-a376-48e0-af79-0102348c69fa,Jordan,Jordan 1 Mid Chicago Toe,,Black/Gym Red-White,CN,men,115,2020-04-01,1585699200,False,"{'imageUrl': 'https://stockx.imgix.net/Air-Jordan-1-Mid-Chicago-Toe-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1596134467', 'smallImageUrl': 'https://stockx.imgix.net/Air-Jordan-1-Mid-Chicago-Toe-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1596134467', 'thumbUrl': 'https://stockx.imgix.net/Air-Jordan-1-Mid-Chicago-Toe-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1596134467', 'gallery': [], 'hidden': False}","['sneakers', 'jordan', 'air jordan', 'one', 'style_id|554724-069', 'release_date|2020-04-01', 'retail_price|115']",Chicago Toe,Jordan 1 Mid,Air-Jordan-1-Mid-Chicago-Toe,AJ1M-CHIT,554724-069
786812bf-b916-440e-8b50-dffd2329c6d3,786812bf-b916-440e-8b50-dffd2329c6d3,Jordan,Jordan 1 Mid Light Smoke Grey,,Light Smoke Grey/Black-White,CN,men,115,2020-06-09,1591660800,False,"{'imageUrl': 'https://stockx.imgix.net/Air-Jordan-1-Mid-Light-Smoke-Grey-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1596134320', 'smallImageUrl': 'https://stockx.imgix.net/Air-Jordan-1-Mid-Light-Smoke-Grey-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1596134320', 'thumbUrl': 'https://stockx.imgix.net/Air-Jordan-1-Mid-Light-Smoke-Grey-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1596134320', 'gallery': [], 'hidden': False}","['sneakers', 'jordan', 'air jordan', 'one', 'style_id|554724-092', 'release_date|2020-06-09', 'retail_price|115']",Light Smoke Grey,Jordan 1 Mid,Air-Jordan-1-Mid-Light-Smoke-Grey,AJ1M-LSG,554724-092
90d7808c-36cc-4dec-8ee5-3b548b918467,90d7808c-36cc-4dec-8ee5-3b548b918467,Jordan,Jordan 1 Retro High Tokyo Bio Hack,,Baroque Brown/Black-Laser Orange-Racer Pink,CN,men,170,2020-09-04,1599177600,False,"{'imageUrl': 'https://stockx.imgix.net/Air-Jordan-1-Retro-High-Bio-Hack-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1599068019', 'smallImageUrl': 'https://stockx.imgix.net/Air-Jordan-1-Retro-High-Bio-Hack-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1599068019', 'thumbUrl': 'https://stockx.imgix.net/Air-Jordan-1-Retro-High-Bio-Hack-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1599068019', 'gallery': [], 'hidden': False}","['sneakers', 'jordan', 'air jordan', 'one', 'style_id|555088-201', 'release_date|2020-09-04', 'retail_price|170']",Tokyo Bio Hack,Jordan 1 Retro High,Air-Jordan-1-Retro-High-Bio-Hack,AJ1H-BH,555088-201
771e7335-ac9b-4f3d-8f5a-366bed5417ed,771e7335-ac9b-4f3d-8f5a-366bed5417ed,adidas,adidas Yeezy Boost 350 V2 Zyon,"Yeezy adds another colorway of its most well-known design with the adidas Yeezy 350 Zyon, now available on StockX. This 350 V2 dons a similar pattern as the Static colorway, only this time ditching a white side stripe and grey accents for a darker brown stripe and mocha hues.
<br>
<br>
This Yeezy 350 V2 is composed of a Zyon Primeknit upper with a dark tonal side stripe. A translucent Boost cushioned sole and cream interior completes the design. These sneakers released in March of 2020 and retailed for $220.",Zyon/Zyon/Zyon,CN,men,220,2020-07-18,1595030400,False,"{'imageUrl': 'https://stockx.imgix.net/adidas-Yeezy-Boost-350-V2-Zyon-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1596134320', 'smallImageUrl': 'https://stockx.imgix.net/adidas-Yeezy-Boost-350-V2-Zyon-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1596134320', 'thumbUrl': 'https://stockx.imgix.net/adidas-Yeezy-Boost-350-V2-Zyon-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1596134320', 'gallery': [], 'hidden': False}","['sneakers', 'adidas', 'adidas', 'yeezy', '350', 'v2', 'style_id|fz1267', 'release_date|2020-07-18', 'retail_price|220']",Zyon,adidas Yeezy Boost 350 V2,adidas-Yeezy-Boost-350-V2-Zyon,ADI-ADYB3VZZZ,FZ1267
ea4a2e72-8df9-442d-8ad1-ce3233d76f87,ea4a2e72-8df9-442d-8ad1-ce3233d76f87,Jordan,Jordan 1 Retro High Light Smoke Grey,"Jordan delivered another new colorway of their most popular silhouette with the Jordan 1 Retro High Light Smoke Grey, now available on StockX. Following a similar reconstructed design language as the Jordan 1 Union LA from 2018, this Jordan 1 utilizes color blocking and different materials to present familiar colors in a unique format.
<br>
<br>
The Jordan 1 High Light Smoke Grey is composed of a white leather upper with grey suede overlays and a red leather ankle panel. Black suede on the heel paneling and Swoosh, a white midsole, and black outsole completes the design. This Jordan 1 released in July of 2020 and retailed for $170 USD.",White/Black-Light Smoke Grey-Varsity Red,CN,men,170,2020-07-11,1594425600,True,"{'imageUrl': 'https://stockx.imgix.net/Air-Jordan-1-Retro-High-Light-Smoke-Grey-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1594243826', 'smallImageUrl': 'https://stockx.imgix.net/Air-Jordan-1-Retro-High-Light-Smoke-Grey-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1594243826', 'thumbUrl': 'https://stockx.imgix.net/Air-Jordan-1-Retro-High-Light-Smoke-Grey-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1594243826', 'gallery': [], 'hidden': False}","['sneakers', 'jordan', 'air jordan', 'one', 'style_id|555088-126', 'release_date|2020-07-11', 'retail_price|170']",Light Smoke Grey,Jordan 1 Retro High,Air-Jordan-1-Retro-High-Light-Smoke-Grey,AJ1H-LSG,555088-126
1e3ba91f-5350-4fe3-abb7-feb2a6129cc9,1e3ba91f-5350-4fe3-abb7-feb2a6129cc9,Jordan,Jordan 1 Retro High Satin Snake Chicago (W),"Jordan Brand added luxe materials to a classic silhouette with the release of the Jordan 1 Retro High Satin Snake Chicago (W). This release combines Jumpman’s ongoing Satin 1 concept with the colorway that started it all.
<br>
<br>
This Jordan 1 consists of a white and red leather upper with red satin tongue and liner. Black faux snakeskin leather detailing appears on the upper as well. A white midsole, red outsole, and a traditional Jordan Wings graphic on the ankle completes the design. These sneakers released in August of 2020 and retailed for $170.",Gym Red/White-Black,CN,women,170,2020-08-06,1596672000,False,"{'imageUrl': 'https://stockx.imgix.net/Air-Jordan-1-Retro-High-Satin-Snake-Chicago-W-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1597678279', 'smallImageUrl': 'https://stockx.imgix.net/Air-Jordan-1-Retro-High-Satin-Snake-Chicago-W-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1597678279', 'thumbUrl': 'https://stockx.imgix.net/Air-Jordan-1-Retro-High-Satin-Snake-Chicago-W-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1597678279', 'gallery': [], 'hidden': False}","['sneakers', 'jordan', 'air jordan', 'one', 'style_id|cd0461-601', 'release_date|2020-08-06', 'retail_price|170']",Satin Snake Chicago (W),Jordan 1 Retro High,Air-Jordan-1-Retro-High-Satin-Snake-Chicago-W,JB-JO1RHSSGW,CD0461-601
a1cb8abf-13fd-4573-9ee0-f4e20435942c,a1cb8abf-13fd-4573-9ee0-f4e20435942c,Jordan,Jordan 1 Retro High Royal Toe,"Jordan Brand adds a twist to a classic with the Jordan 1 Retro High Royal Toe, now available on StockX. Releases like the Shattered Backboard 1 and Bred Toe have shifted all eyes on Jordan’s “Black Toe” inspired colorways. The Royal Toe takes inspiration from the original Jordan 1 Royal colorway (which released in 1985) and adds design elements of the Black Toe 1 to create a familiar, but new dialogue.
<br>
<br>
This AJ 1 features a white and royal leather upper with black leather overlays and detailing. A white midsole, royal outsole, and branded leather tongue tag completes this design. These sneakers released in May of 2020 and retailed for $170 USD.",Black/White-Game Royal-Black,CN,men,170,2020-05-09,1588982400,False,"{'imageUrl': 'https://stockx.imgix.net/Air-Jordan-1-Retro-High-Black-Game-Royal-Toe-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1596211150', 'smallImageUrl': 'https://stockx.imgix.net/Air-Jordan-1-Retro-High-Black-Game-Royal-Toe-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1596211150', 'thumbUrl': 'https://stockx.imgix.net/Air-Jordan-1-Retro-High-Black-Game-Royal-Toe-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1596211150', 'gallery': [], 'hidden': False}","['sneakers', 'jordan', 'air jordan', 'one', 'retail_price|170', 'style_id|555088-041', 'release_date|2020-05-09']",Royal Toe,Jordan 1 Retro High,Air-Jordan-1-Retro-High-Black-Game-Royal-Toe,AJ1M-BKGR,555088-041
cc8df9f7-9483-43c2-968b-8143ecdc68e7,cc8df9f7-9483-43c2-968b-8143ecdc68e7,Jordan,Jordan 14 Retro White Hyper Royal,"The Air Jordan 14 Hyper Royal isn’t an OG colorway but it could easily pass as one. Reminiscent of the original Candy Cane colorway, this new take on the 14 is a complete contrast to the Toro Gym Reds that dropped earlier this year. The Hyper Royal Jordan 14 provides a clean colorway for everyday wear.
<br>
<br>
The Air Jordan 14 Hyper Royal showcases a white tumbled leather upper with minimal Jordan branding. A small Jumpman is embroidered over the toe while a small Jordan logo is encased in a jeweled window on the ankle. Hits of Hyper Royal blue appear on the peaks of the midsole and add contrast to a carbon fiber plating that wraps from the midsole to the outsole. The sneaker is complete with a 23 on the heel in the model’s traditional tire pattern, showing off its Ferrari-inspired design.
<br>
<br>
The Air Jordan 14 Hyper Royal released in September of 2020 for $190.",White/Black-Hyper Royal,CN,men,190,2020-09-19,1600473600,False,"{'imageUrl': 'https://stockx.imgix.net/Air-Jordan-14-Retro-White-Hyper-Royal-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1600880039', 'smallImageUrl': 'https://stockx.imgix.net/Air-Jordan-14-Retro-White-Hyper-Royal-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1600880039', 'thumbUrl': 'https://stockx.imgix.net/Air-Jordan-14-Retro-White-Hyper-Royal-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1600880039', 'gallery': [], 'hidden': False}","['sneakers', 'jordan', 'air jordan', 'fourteen', 'style_id|487471-104', 'release_date|2020-09-19', 'retail_price|190']",White Hyper Royal,Jordan 14 Retro,Air-Jordan-14-Retro-White-Hyper-Royal,AJ14-WHR,487471-104
